Designator,Mid X,Mid Y,Rotation,Layer
C1,35.18,-36.095,90.0,top
C10,57.93,-30.845,90.0,top
C11,70.18,-36.095,90.0,top
C12,78.18,-36.095,90.0,top
C13,179.605,-100.05,90.0,top
C14,153.85,-108.795,180.0,top
C15,175.98,-82.67,90.0,top
C16,176.105,-100.05,90.0,top
C17,179.48,-187.67,90.0,top
C18,154.23,-196.92,180.0,top
C19,175.98,-170.67,90.0,top
C2,89.18,-22.845,180.0,top
C20,175.98,-187.67,90.0,top
C21,153.98,-149.67,180.0,top
C22,204.255,-124.09,90.0,top
C23,204.355,-141.59,90.0,top
C24,176.005,-124.24,90.0,top
C25,176.005,-141.59,90.0,top
C26,119.75,-130.25,0.0,top
C27,79.75,-128.25,0.0,top
C28,120.0,-106.53,0.0,top
C29,120.0,-103.03,0.0,top
C3,89.18,-37.845,180.0,top
C30,120.0,-73.25,0.0,top
C31,90.25,-121.53,180.0,top
C32,90.25,-91.25,180.0,top
C33,47.75,-135.5,0.0,top
C34,47.75,-164.0,0.0,top
C35,88.25,-231.5,270.0,top
C36,79.25,-223.0,180.0,top
C37,79.25,-238.0,180.0,top
C38,175.78,-69.485,180.0,top
C39,167.78,-41.485,0.0,top
C4,89.43,-52.845,180.0,top
C40,175.78,-55.235,90.0,top
C41,175.78,-38.235,90.0,top
C42,222.23,-205.67,90.0,top
C43,197.78,-205.67,90.0,top
C44,244.18,-205.82,90.0,top
C45,246.68,-219.27,270.0,top
C46,251.78,-205.82,90.0,top
C47,154.21,-250.02,180.0,top
C48,191.48,-210.92,90.0,top
C49,154.23,-226.62,180.0,top
C5,36.93,-51.595,180.0,top
C50,154.23,-223.17,180.0,top
C51,102.0,-246.5,0.0,top
C52,102.0,-272.0,0.0,top
C53,102.0,-243.25,0.0,top
C54,40.5,-280.25,90.0,top
C55,37.25,-280.25,90.0,top
C56,62.5,-280.25,90.0,top
C57,44.25,-297.75,90.0,top
C58,39.5,-333.5,180.0,top
C59,39.25,-314.25,180.0,top
C6,43.18,-36.095,90.0,top
C60,23.33,-377.75,180.0,top
C61,23.08,-353.0,90.0,top
C62,66.83,-377.75,180.0,top
C63,66.58,-353.0,90.0,top
C64,110.23,-377.8,180.0,top
C65,110.33,-353.2,90.0,top
C66,233.23,-112.42,180.0,top
C67,233.23,-127.42,180.0,top
C68,160.23,-257.42,0.0,top
C69,190.48,-257.42,90.0,top
C7,52.18,-36.095,90.0,top
C70,194.83,-314.62,180.0,top
C71,194.88,-298.62,180.0,top
C72,187.23,-257.42,90.0,top
C73,195.23,-281.62,180.0,top
C74,222.83,-314.22,180.0,top
C75,173.28,-323.22,180.0,top
C76,154.18,-316.02,180.0,top
C77,173.43,-302.42,180.0,top
C78,173.38,-328.42,180.0,top
C79,178.98,-334.29,0.0,top
C8,61.18,-36.095,90.0,top
C80,154.23,-360.42,180.0,top
C81,176.23,-334.29,180.0,top
C82,173.68,-349.74,0.0,top
C9,61.18,-30.845,90.0,top
D1,116.0,-24.4,270.0,top
D10,59.955,-61.595,180.0,top
D100,190.94,-398.4,180.0,top
D101,197.94,-398.4,180.0,top
D102,204.94,-398.4,180.0,top
D103,211.94,-398.4,180.0,top
D104,218.94,-398.4,180.0,top
D105,220.48,-264.67,0.0,top
D106,227.44,-264.67,0.0,top
D107,200.48,-277.92,0.0,top
D108,207.44,-277.92,0.0,top
D109,214.4,-277.92,0.0,top
D11,113.705,-53.095,180.0,top
D110,221.4,-277.92,0.0,top
D111,228.4,-277.92,0.0,top
D112,235.4,-277.92,0.0,top
D113,242.4,-277.92,0.0,top
D114,249.44,-277.92,0.0,top
D115,200.48,-356.92,0.0,top
D116,207.48,-356.92,0.0,top
D117,214.45,-356.92,0.0,top
D118,221.45,-356.92,0.0,top
D119,228.45,-356.92,0.0,top
D12,77.97,-61.595,180.0,top
D120,235.49,-356.92,0.0,top
D121,242.49,-356.92,0.0,top
D122,249.715,-356.92,0.0,top
D13,200.84,-89.61,0.0,top
D14,207.8,-89.61,0.0,top
D15,214.8,-89.61,0.0,top
D16,221.815,-89.61,0.0,top
D17,228.84,-89.61,0.0,top
D18,235.815,-89.61,0.0,top
D19,242.84,-89.61,0.0,top
D2,123.0,-24.425,270.0,top
D20,249.84,-89.61,0.0,top
D21,200.48,-194.67,0.0,top
D22,207.48,-194.67,0.0,top
D23,214.48,-194.67,0.0,top
D24,221.48,-194.67,0.0,top
D25,228.48,-194.67,0.0,top
D26,235.48,-194.67,0.0,top
D27,242.48,-194.67,0.0,top
D28,249.48,-194.67,0.0,top
D29,200.44,-161.42,0.0,top
D3,130.0,-24.4,270.0,top
D30,207.44,-161.42,0.0,top
D31,214.44,-161.42,0.0,top
D32,221.44,-161.42,0.0,top
D33,228.44,-161.42,0.0,top
D34,235.44,-161.42,0.0,top
D35,242.44,-161.42,0.0,top
D36,249.44,-161.42,0.0,top
D37,68.0,-201.5,90.0,top
D38,75.0,-201.5,90.0,top
D39,82.0,-201.5,90.0,top
